Khiri Ratthanikhom,33°C
Khlong Had,33°C
Khlong Lan,34°C
Bangkok,34°C
Khlong Thom,34°C
Khlong Yai,33°C
Kho Wang,34°C
Khok Si Suphan,37°C
Khon Buri,34°C
Khon San,35°C
Khong Chiam,34°C
Khu Khan,33°C
Khu Muang,33°C
Khuan Don,32°C
Khuan Ka Long,30°C
Khuan Khanun,33°C
Khuan Niang,33°C
Khun Han,31°C
Khun Yuam,29°C
Khura Buri,32°C
Chiang Muan,36°C
Don Tan,35°C
Mae Charim,34°C
Na Wa,36°C
Nong Phok,34°C
Pa Daet,29°C
Ban Pak Chom,36°C
Phu Rua,27°C
Ban Sang Khom,36°C
Si That,35°C
Thung Wa,32°C
Ko Kho Khao,32°C
Ko Phangan,29°C
Ko Samui,32°C
Ko Si Chang,32°C
Ko Yao,32°C
Kong Ra,30°C
Raman,32°C
Kra Sae Sin,32°C
Kut Bak,33°C
Kut Chum,34°C
Kut Khaopun,34°C
Laem Ngop,31°C
Lahan Sai,34°C
Lam Plai Mat,34°C
Lamae,32°C
Lamduan,35°C
Lan Krabu,34°C
Lan Sak,35°C
Lao Khwan,34°C
Lat Bua Luang,34°C
Lat Krabang,33°C
Lat Lum Kaeo,34°C
Laun,32°C
Loeng Nok Tha,34°C
Long,34°C
Mae Ai,33°C
Mae Chai,35°C
Mae Chan,32°C
Mae la Noi,33°C
Mae Mo,34°C
Mae Ramat,29°C
Mae Rim,35°C
Mae Sariang,33°C
Maha Rat,33°C
Mai Kaen,31°C
Makham,33°C
Mayo,32°C
Meyawadi,34°C
Pan,34°C
Sam Sip,34°C
Na,33°C
Na Bon,30°C
Na Chaluai,30°C
